"Id","IsDeleted","ParentId","ParentSobjectType","CreatedById","CreatedDate","FieldName","DataType","OldvalString","NewvalString","OldvalFirstName","NewvalFirstName","OldvalLastName","NewvalLastName","OldvalNumber","NewvalNumber","OldvalDate","NewvalDate"
"017f40000DKySDuAQN","0","068f4000009IUC0AAO","ContentVersion","005f40000042AhBAAU","2019-04-26 15:52:14","content_version_updated","S","","","","","","","","","",""
"017f40000DKySDvAQN","0","068f4000009IUC0AAO","ContentVersion","005f40000042AhBAAU","2019-04-26 15:52:14","content_version_data_replaced","S","","","","","","","","","",""
"017f40000DKySHyAQN","0","068f4000009IUC0AAO","ContentVersion","005f40000042AhBAAU","2019-04-26 15:52:25","content_version_updated","S","","","","","","","","","",""
"017f40000DKySHzAQN","0","068f4000009IUC0AAO","ContentVersion","005f40000042AhBAAU","2019-04-26 15:52:25","content_version_data_replaced","S","","","","","","","","","",""
"017f40000DKySI0AQN","0","068f4000009IUeNAAW","ContentVersion","005f40000042AhBAAU","2019-04-26 15:52:45","content_version_updated","S","","","","","","","","","",""
"017f40000DKySI1AQN","0","068f4000009IUeNAAW","ContentVersion","005f40000042AhBAAU","2019-04-26 15:52:45","content_version_data_replaced","S","","","","","","","","","",""
"017f40000DKySINAQ3","0","068f4000009IUC0AAO","ContentVersion","005f40000042AhBAAU","2019-04-26 15:52:32","content_version_updated","S","","","","","","","","","",""
"017f40000DKySIOAQ3","0","068f4000009IUC0AAO","ContentVersion","005f40000042AhBAAU","2019-04-26 15:52:32","content_version_data_replaced","S","","","","","","","","","",""
"017f40000DKySIQAQ3","0","068f4000009IUeNAAW","ContentVersion","005f40000042AhBAAU","2019-04-26 15:52:39","createText","S","","","","","","","","","",""
"017f40000DKySS7AQN","0","068f4000009IUC0AAO","ContentVersion","005f40000042AhBAAU","2019-04-26 15:52:20","content_version_updated","S","","","","","","","","","",""
"017f40000DKySS8AQN","0","068f4000009IUC0AAO","ContentVersion","005f40000042AhBAAU","2019-04-26 15:52:20","content_version_data_replaced","S","","","","","","","","","",""
"017f40000DKySr7AQF","0","068f4000009IUeNAAW","ContentVersion","005f40000042AhBAAU","2019-04-26 15:52:51","content_version_updated","S","","","","","","","","","",""
"017f40000DKySr8AQF","0","068f4000009IUeNAAW","ContentVersion","005f40000042AhBAAU","2019-04-26 15:52:51","content_version_data_replaced","S","","","","","","","","","",""
"017f40000DKySr9AQF","0","068f4000009IUeNAAW","ContentVersion","005f40000042AhBAAU","2019-04-26 15:53:12","content_version_updated","S","","","","","","","","","",""
"017f40000DKySrAAQV","0","068f4000009IUeNAAW","ContentVersion","005f40000042AhBAAU","2019-04-26 15:53:12","content_version_data_replaced","S","","","","","","","","","",""
"017f40000DKySsoAQF","0","068f4000009IUeNAAW","ContentVersion","005f40000042AhBAAU","2019-04-26 15:52:58","content_version_updated","S","","","","","","","","","",""
"017f40000DKySspAQF","0","068f4000009IUeNAAW","ContentVersion","005f40000042AhBAAU","2019-04-26 15:52:58","content_version_data_replaced","S","","","","","","","","","",""
"017f40000DNdSo8AQF","0","069f4000008i6XEAAY","ContentDocument","005f4000003qsOhAAI","2019-04-28 03:41:00","createText","S","","","","","","","","","",""
"017f40000DNdSo9AQF","0","068f4000009Id9pAAC","ContentVersion","005f4000003qsOhAAI","2019-04-28 03:40:59","createText","S","","","","","","","","","",""
"017f40000DPphcEAQR","0","a0Hf400000AqNTEEA3","Affiliation","005f40000042AhBAAU","2019-04-29 18:47:53","createText","S","","","","","","","","","",""
"017f40000DQWtltAQD","0","a0Hf400000AqOInEAN","Affiliation","005f4000003qkvcAAA","2019-04-29 21:12:45","createText","S","","","","","","","","","",""
