"Id","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","DateStartInterval","IntervalDays","FeedElementId","Parent","ItemCount","NetworkScope"
"0ODf4000000reZCGAY","0","00000011","2019-02-10 14:13:20","005f4000002cd9IAAQ","2019-02-10 14:13:20","005f4000002cd9IAAQ","2019-02-10 14:13:20","2019-02-10 00:00:00","7","0D5f400001EXdH6CAL","00Qf400000DUKiL","1","I"
"0ODf4000000reZDGAY","0","00000012","2019-02-10 14:13:20","005f4000002cd9IAAQ","2019-02-10 14:13:20","005f4000002cd9IAAQ","2019-02-10 14:13:20","2019-02-10 00:00:00","7","0D5f400001EYONQCA5","00Qf400000DUWMl","1","I"
"0ODf4000000reZEGAY","0","00000013","2019-02-10 14:13:20","005f4000002cd9IAAQ","2019-02-10 14:13:20","005f4000002cd9IAAQ","2019-02-10 14:13:20","2019-02-10 00:00:00","7","0D5f400001EalGvCAJ","00Qf400000DuKRi","1","I"
"0ODf4000000reZFGAY","0","00000014","2019-02-10 14:13:20","005f4000002cd9IAAQ","2019-02-10 14:13:20","005f4000002cd9IAAQ","2019-02-10 14:13:20","2019-02-10 00:00:00","7","0D5f400001EzhMwCAJ","00Qf400000DurS5","1","I"
"0ODf4000000reZGGAY","0","00000015","2019-02-10 14:13:20","005f4000002cd9IAAQ","2019-02-10 14:13:20","005f4000002cd9IAAQ","2019-02-10 14:13:20","2019-02-10 00:00:00","7","0D5f400001FRXImCAP","00Tf4000012rhLi","1","I"
"0ODf4000000rhONGAY","0","00000016","2019-02-17 14:14:05","005f4000002cd9IAAQ","2019-02-17 14:14:05","005f4000002cd9IAAQ","2019-02-17 14:14:05","2019-02-17 00:00:00","7","0D5f400001G0rSwCAJ","00Qf400000DwCIv","1","I"
"0ODf40000018UA5GAM","0","00000022","2019-04-21 13:16:15","005f4000002cd9IAAQ","2019-04-21 13:16:15","005f4000002cd9IAAQ","2019-04-21 13:16:15","2019-04-21 00:00:00","7","0D5f400001W0MqmCAF","00Tf400001CFEx8","2","I"
"0ODf40000018UA6GAM","0","00000023","2019-04-21 13:16:15","005f4000002cd9IAAQ","2019-04-21 13:16:15","005f4000002cd9IAAQ","2019-04-21 13:16:15","2019-04-21 00:00:00","7","0D5f400001W0MxsCAF","00Tf400001CFEyL","2","I"
"0ODf40000018UCrGAM","0","00000024","2019-04-21 13:16:15","005f4000002cd9IAAQ","2019-04-21 13:16:15","005f4000002cd9IAAQ","2019-04-21 13:16:15","2019-04-21 00:00:00","7","0D5f400001W2bQQCAZ","00Tf400001CFeQ3","1","I"
"0ODf40000018UCsGAM","0","00000025","2019-04-21 13:16:15","005f4000002cd9IAAQ","2019-04-21 13:16:15","005f4000002cd9IAAQ","2019-04-21 13:16:15","2019-04-21 00:00:00","7","0D5f400001W2gYOCAZ","0F9f4000000ohIp","4","000000000000000"
