"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","npsp__Context_Type__c","npsp__Datetime__c","npsp__Email_Sent__c","npsp__Error_Type__c","npsp__Full_Message__c","npsp__Object_Type__c","npsp__Posted_in_Chatter__c","npsp__Record_URL__c","npsp__Stack_Trace__c","npsp__Related_Record_ID__c","npsp__Retry_Pending__c"
"a0Of400001Bhnx4EAB","005f4000003qkvcAAA","0","000021","2019-05-17 02:36:00","005f4000003qkvcAAA","2019-05-17 02:36:00","005f4000003qkvcAAA","2019-05-17 02:36:00","LD","2019-05-17 02:36:00","1","System.DmlException","ConvertLead failed. First exception on row 0; first error: CANNOT_UPDATE_CONVERTED_LEAD, This lead was already converted to the contact Christopher Chomyszak on 5/16/2019.: []","","0","","No stacktrace available at the time of saving the record. (npsp)","",""
"a0Of400001Bhnx9EAB","005f4000003qkvcAAA","0","000022","2019-05-17 02:36:18","005f4000003qkvcAAA","2019-05-17 02:36:18","005f4000003qkvcAAA","2019-05-17 02:36:18","LD","2019-05-17 02:36:18","1","System.DmlException","ConvertLead failed. First exception on row 0; first error: CANNOT_UPDATE_CONVERTED_LEAD, This lead was already converted to the contact Christopher Chomyszak on 5/16/2019.: []","","0","","No stacktrace available at the time of saving the record. (npsp)","",""
"a0Of400001BhnxJEAR","005f4000003qkvcAAA","0","000023","2019-05-17 02:44:53","005f4000003qkvcAAA","2019-05-17 02:44:53","005f4000003qkvcAAA","2019-05-17 02:44:53","LD","2019-05-17 02:44:53","1","System.DmlException","ConvertLead failed. First exception on row 0; first error: INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST, The lead conversion failed because the value for the field Whichcourse__c is invalid. The value comes from the lead field that's mapped to the field Whichcourse__c. Ask your admin to check the field mappings.: []","","0","","No stacktrace available at the time of saving the record. (npsp)","",""
"a0Of400001BiADOEA3","005f4000003qkvcAAA","0","000024","2019-05-28 05:48:13","005f4000003qkvcAAA","2019-05-28 05:48:13","005f4000003qkvcAAA","2019-05-28 05:48:13","LD","2019-05-28 05:48:13","1","System.DmlException","ConvertLead failed. First exception on row 0; first error: INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST, The lead conversion failed because the value for the field Whichcourse__c is invalid. The value comes from the lead field that's mapped to the field Whichcourse__c. Ask your admin to check the field mappings.: []","","0","","No stacktrace available at the time of saving the record. (npsp)","",""
"a0Of400001BiC0MEAV","005f4000003qkvcAAA","0","000025","2019-05-30 05:28:55","005f4000003qkvcAAA","2019-05-30 05:28:55","005f4000003qkvcAAA","2019-05-30 05:28:55","LD","2019-05-30 05:28:55","1","System.DmlException","ConvertLead failed. First exception on row 0; first error: INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST, The lead conversion failed because the value for the field Whichcourse__c is invalid. The value comes from the lead field that's mapped to the field Whichcourse__c. Ask your admin to check the field mappings.: []","","0","","No stacktrace available at the time of saving the record. (npsp)","",""
"a0Of400001BiHVFEA3","005f4000003qkvcAAA","0","000026","2019-06-06 00:20:27","005f4000003qkvcAAA","2019-06-06 00:20:28","005f4000003qkvcAAA","2019-06-06 00:20:28","LD","2019-06-06 00:20:27","1","System.DmlException","ConvertLead failed. First exception on row 0; first error: CANNOT_UPDATE_CONVERTED_LEAD, This lead was already converted to the contact Jody Miller on 6/5/2019.: []","","0","","No stacktrace available at the time of saving the record. (npsp)","",""
"a0Of400001BiJndEAF","005f4000003qkvcAAA","0","000027","2019-06-09 05:46:31","005f4000003qkvcAAA","2019-06-09 05:46:32","005f4000003qkvcAAA","2019-06-09 05:46:32","LD","2019-06-09 05:46:31","1","System.DmlException","ConvertLead failed. First exception on row 0; first error: DUPLICATES_DETECTED, Use one of these records?: []","","0","","No stacktrace available at the time of saving the record. (npsp)","",""
"a0Of400001BiJniEAF","005f4000003qkvcAAA","0","000028","2019-06-09 05:47:30","005f4000003qkvcAAA","2019-06-09 05:47:30","005f4000003qkvcAAA","2019-06-09 05:47:30","LD","2019-06-09 05:47:30","1","System.DmlException","ConvertLead failed. First exception on row 0; first error: DUPLICATES_DETECTED, Use one of these records?: []","","0","","No stacktrace available at the time of saving the record. (npsp)","",""
"a0Of400001BiJnnEAF","005f4000003qkvcAAA","0","000029","2019-06-09 05:48:23","005f4000003qkvcAAA","2019-06-09 05:48:23","005f4000003qkvcAAA","2019-06-09 05:48:23","LD","2019-06-09 05:48:23","1","System.DmlException","ConvertLead failed. First exception on row 0; first error: DUPLICATES_DETECTED, Use one of these records?: []","","0","","No stacktrace available at the time of saving the record. (npsp)","",""
"a0Of400001BiJnsEAF","005f4000003qkvcAAA","0","000030","2019-06-09 05:50:10","005f4000003qkvcAAA","2019-06-09 05:50:10","005f4000003qkvcAAA","2019-06-09 05:50:10","LD","2019-06-09 05:50:10","1","System.DmlException","ConvertLead failed. First exception on row 0; first error: DUPLICATES_DETECTED, Use one of these records?: []","","0","","No stacktrace available at the time of saving the record. (npsp)","",""
"a0Of400001BiRYdEAN","005f4000003qkvcAAA","0","000031","2019-06-18 17:38:24","005f4000003qkvcAAA","2019-06-18 17:38:26","005f4000003qkvcAAA","2019-06-18 17:38:26","LD","2019-06-18 17:38:24","1","System.DmlException","ConvertLead failed. First exception on row 0; first error: CANNOT_UPDATE_CONVERTED_LEAD, This lead was already converted to the contact Vic Hyder on 6/18/2019.: []","","0","","No stacktrace available at the time of saving the record. (npsp)","",""
"a0Of400001BiRYiEAN","005f4000003qkvcAAA","0","000032","2019-06-18 17:38:29","005f4000003qkvcAAA","2019-06-18 17:38:29","005f4000003qkvcAAA","2019-06-18 17:38:29","LD","2019-06-18 17:38:29","1","System.DmlException","ConvertLead failed. First exception on row 0; first error: CANNOT_UPDATE_CONVERTED_LEAD, This lead was already converted to the contact Vic Hyder on 6/18/2019.: []","","0","","No stacktrace available at the time of saving the record. (npsp)","",""
"a0Of400001BiSEuEAN","005f4000003qkvcAAA","0","000033","2019-06-19 04:24:01","005f4000003qkvcAAA","2019-06-19 04:24:01","005f4000003qkvcAAA","2019-06-19 04:24:01","LD","2019-06-19 04:24:01","1","System.DmlException","ConvertLead failed. First exception on row 0; first error: REQUIRED_FIELD_MISSING, Your lead is missing a field mapping for the What Course did you graduate from field. For help, talk with your admin or see <a href=""https://help.salesforce.com/articleView?id=customize_mapleads.htm"" target=""_blank"">Map Custom Lead Fields for Lead Conversion</a> in Salesforce Help.: []","","0","","No stacktrace available at the time of saving the record. (npsp)","",""
"a0Of400001BiaQSEAZ","005f4000003qkvcAAA","0","000034","2019-06-28 21:23:21","005f4000003qkvcAAA","2019-06-28 21:23:22","005f4000003qkvcAAA","2019-06-28 21:23:22","LD","2019-06-28 21:23:21","1","System.DmlException","ConvertLead failed. First exception on row 0; first error: INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST, The lead conversion failed because the value for the field Whichcourse__c is invalid. The value comes from the lead field that's mapped to the field Whichcourse__c. Ask your admin to check the field mappings.: []","","0","","No stacktrace available at the time of saving the record. (npsp)","",""
"a0Of400001BidLjEAJ","005f4000003qkvcAAA","0","000035","2019-07-03 01:48:46","005f4000003qkvcAAA","2019-07-03 01:48:47","005f4000003qkvcAAA","2019-07-03 01:48:47","LD","2019-07-03 01:48:46","1","System.DmlException","ConvertLead failed. First exception on row 0; first error: INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST, The lead conversion failed because the value for the field Whichcourse__c is invalid. The value comes from the lead field that's mapped to the field Whichcourse__c. Ask your admin to check the field mappings.: []","","0","","No stacktrace available at the time of saving the record. (npsp)","",""
"a0Of400001Bie52EAB","005f4000003qkvcAAA","0","000036","2019-07-03 16:26:28","005f4000003qkvcAAA","2019-07-03 16:26:29","005f4000003qkvcAAA","2019-07-03 16:26:29","LD","2019-07-03 16:26:28","1","System.DmlException","ConvertLead failed. First exception on row 0; first error: REQUIRED_FIELD_MISSING, Your lead is missing a field mapping for the What Course did you graduate from field. For help, talk with your admin or see <a href=""https://help.salesforce.com/articleView?id=customize_mapleads.htm"" target=""_blank"">Map Custom Lead Fields for Lead Conversion</a> in Salesforce Help.: []","","0","","No stacktrace available at the time of saving the record. (npsp)","",""
"a0Of400001BigcPEAR","005f4000003qkvcAAA","0","000037","2019-07-05 19:59:02","005f4000003qkvcAAA","2019-07-05 19:59:04","005f4000003qkvcAAA","2019-07-05 19:59:04","LD","2019-07-05 19:59:02","1","System.DmlException","ConvertLead failed. First exception on row 0; first error: INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST, The lead conversion failed because the value for the field Whichcourse__c is invalid. The value comes from the lead field that's mapped to the field Whichcourse__c. Ask your admin to check the field mappings.: []","","0","","No stacktrace available at the time of saving the record. (npsp)","",""
"a0Of400001BipQMEAZ","005f4000003qkvcAAA","0","000038","2019-07-17 05:14:53","005f4000003qkvcAAA","2019-07-17 05:14:53","005f4000003qkvcAAA","2019-07-17 05:14:53","LD","2019-07-17 05:14:53","1","System.DmlException","ConvertLead failed. First exception on row 0; first error: CANNOT_UPDATE_CONVERTED_LEAD, This lead was already converted to the contact Samuel Carney on 7/16/2019.: []","","0","","No stacktrace available at the time of saving the record. (npsp)","",""
"a0Of400001Biw3KEAR","005f4000003qkvcAAA","0","000039","2019-07-23 17:53:30","005f4000003qkvcAAA","2019-07-23 17:53:32","005f4000003qkvcAAA","2019-07-23 17:53:32","LD","2019-07-23 17:53:30","1","System.DmlException","ConvertLead failed. First exception on row 0; first error: INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST, The lead conversion failed because the value for the field Whichcourse__c is invalid. The value comes from the lead field that's mapped to the field Whichcourse__c. Ask your admin to check the field mappings.: []","","0","","No stacktrace available at the time of saving the record. (npsp)","",""
"a0Of400001Bj1YZEAZ","005f4000003qkvcAAA","0","000040","2019-07-30 07:56:23","005f4000003qkvcAAA","2019-07-30 07:56:25","005f4000003qkvcAAA","2019-07-30 07:56:25","LD","2019-07-30 07:56:23","1","System.DmlException","ConvertLead failed. First exception on row 0; first error: INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST, The lead conversion failed because the value for the field Whichcourse__c is invalid. The value comes from the lead field that's mapped to the field Whichcourse__c. Ask your admin to check the field mappings.: []","","0","","No stacktrace available at the time of saving the record. (npsp)","",""
"a0Of400001BjRXYEA3","005f4000003qkvcAAA","0","000041","2019-08-21 06:06:59","005f4000003qkvcAAA","2019-08-21 06:07:02","005f4000003qkvcAAA","2019-08-21 06:07:02","LD","2019-08-21 06:06:59","1","System.DmlException","ConvertLead failed. First exception on row 0; first error: INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST, The lead conversion failed because the value for the field Whichcourse__c is invalid. The value comes from the lead field that's mapped to the field Whichcourse__c. Ask your admin to check the field mappings.: []","","0","","No stacktrace available at the time of saving the record. (npsp)","",""
"a0Of400001BjXr6EAF","005f4000003qkvcAAA","0","000042","2019-08-26 17:08:35","005f4000003qkvcAAA","2019-08-26 17:08:36","005f4000003qkvcAAA","2019-08-26 17:08:36","LD","2019-08-26 17:08:35","1","System.DmlException","ConvertLead failed. First exception on row 0; first error: DUPLICATES_DETECTED, Use one of these records?: []","","0","","No stacktrace available at the time of saving the record. (npsp)","",""
"a0Of400001BjXrBEAV","005f4000003qkvcAAA","0","000043","2019-08-26 17:09:58","005f4000003qkvcAAA","2019-08-26 17:09:58","005f4000003qkvcAAA","2019-08-26 17:09:58","LD","2019-08-26 17:09:58","1","System.DmlException","ConvertLead failed. First exception on row 0; first error: DUPLICATES_DETECTED, Use one of these records?: []","","0","","No stacktrace available at the time of saving the record. (npsp)","",""
"a0Of400001BjmEuEAJ","005f4000003qkvcAAA","0","000044","2019-09-07 01:24:20","005f4000003qkvcAAA","2019-09-07 01:24:20","005f4000003qkvcAAA","2019-09-07 01:24:20","LD","2019-09-07 01:24:19","1","System.DmlException","ConvertLead failed. First exception on row 0; first error: INVALID_STATUS, invalid convertedStatus: Working - Invite Sent: [Status]","","0","","No stacktrace available at the time of saving the record. (npsp)","",""
"a0Of400001Bjs3QEAR","005f4000003qkvcAAA","0","000045","2019-09-14 15:35:52","005f4000003qkvcAAA","2019-09-14 15:35:53","005f4000003qkvcAAA","2019-09-14 15:35:53","LD","2019-09-14 15:35:52","1","System.DmlException","ConvertLead failed. First exception on row 0; first error: INVALID_STATUS, invalid convertedStatus: Working - Invite Sent: [Status]","","0","","No stacktrace available at the time of saving the record. (npsp)","",""
"a0Of400001Bjt98EAB","005f4000003qkvcAAA","0","000046","2019-09-16 13:13:35","005f4000003qkvcAAA","2019-09-16 13:13:35","005f4000003qkvcAAA","2019-09-16 13:13:35","LD","2019-09-16 13:13:35","1","System.DmlException","ConvertLead failed. First exception on row 0; first error: INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST, The lead conversion failed because the value for the field Whichcourse__c is invalid. The value comes from the lead field that's mapped to the field Whichcourse__c. Ask your admin to check the field mappings.: []","","0","","No stacktrace available at the time of saving the record. (npsp)","",""
"a0Of400001Bjt9DEAR","005f4000003qkvcAAA","0","000047","2019-09-16 13:15:01","005f4000003qkvcAAA","2019-09-16 13:15:02","005f4000003qkvcAAA","2019-09-16 13:15:02","LD","2019-09-16 13:15:01","1","System.DmlException","ConvertLead failed. First exception on row 0; first error: INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST, The lead conversion failed because the value for the field Whichcourse__c is invalid. The value comes from the lead field that's mapped to the field Whichcourse__c. Ask your admin to check the field mappings.: []","","0","","No stacktrace available at the time of saving the record. (npsp)","",""
"a0Of400001Bjt9OEAR","005f4000003qkvcAAA","0","000048","2019-09-16 13:15:26","005f4000003qkvcAAA","2019-09-16 13:15:26","005f4000003qkvcAAA","2019-09-16 13:15:26","LD","2019-09-16 13:15:26","1","System.DmlException","ConvertLead failed. First exception on row 0; first error: INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST, The lead conversion failed because the value for the field Whichcourse__c is invalid. The value comes from the lead field that's mapped to the field Whichcourse__c. Ask your admin to check the field mappings.: []","","0","","No stacktrace available at the time of saving the record. (npsp)","",""
"a0Of400001Bjt9ZEAR","005f4000003qkvcAAA","0","000049","2019-09-16 13:16:48","005f4000003qkvcAAA","2019-09-16 13:16:48","005f4000003qkvcAAA","2019-09-16 13:16:48","LD","2019-09-16 13:16:48","1","System.DmlException","ConvertLead failed. First exception on row 0; first error: INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST, The lead conversion failed because the value for the field Whichcourse__c is invalid. The value comes from the lead field that's mapped to the field Whichcourse__c. Ask your admin to check the field mappings.: []","","0","","No stacktrace available at the time of saving the record. (npsp)","",""
"a0Of400001Bjt9eEAB","005f4000003qkvcAAA","0","000050","2019-09-16 13:18:50","005f4000003qkvcAAA","2019-09-16 13:18:50","005f4000003qkvcAAA","2019-09-16 13:18:50","LD","2019-09-16 13:18:50","1","System.DmlException","ConvertLead failed. First exception on row 0; first error: INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST, The lead conversion failed because the value for the field Whichcourse__c is invalid. The value comes from the lead field that's mapped to the field Whichcourse__c. Ask your admin to check the field mappings.: []","","0","","No stacktrace available at the time of saving the record. (npsp)","",""
"a0Of400001Bjt9jEAB","005f4000003qkvcAAA","0","000051","2019-09-16 13:20:53","005f4000003qkvcAAA","2019-09-16 13:20:53","005f4000003qkvcAAA","2019-09-16 13:20:53","LD","2019-09-16 13:20:53","1","System.DmlException","ConvertLead failed. First exception on row 0; first error: INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST, The lead conversion failed because the value for the field Whichcourse__c is invalid. The value comes from the lead field that's mapped to the field Whichcourse__c. Ask your admin to check the field mappings.: []","","0","","No stacktrace available at the time of saving the record. (npsp)","",""
"a0Of400001BjxyUEAR","005f4000003qkvcAAA","0","000052","2019-09-22 21:41:40","005f4000003qkvcAAA","2019-09-22 21:41:47","005f4000003qkvcAAA","2019-09-22 21:41:47","LD","2019-09-22 21:41:40","1","System.DmlException","ConvertLead failed. First exception on row 0; first error: INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST, The lead conversion failed because the value for the field Whichcourse__c is invalid. The value comes from the lead field that's mapped to the field Whichcourse__c. Ask your admin to check the field mappings.: []","","0","","No stacktrace available at the time of saving the record. (npsp)","",""
